product_name,nutrient_id,amount_100
Сёмга,vit_b1,0.2260
Сёмга,vit_b2,0.3800
Сёмга,vit_pp,7.8600
Авокадо,na,7.0000
Авокадо,k,485.0000
Авокадо,ca,12.0000
Авокадо,mg,29.0000
Авокадо,p,52.0000
Авокадо,fe,0.5500
Авокадо,beta_carotene,0.0620
Авокадо,vit_b1,0.0670
Авокадо,vit_b2,0.1300
Авокадо,vit_pp,1.7380
Авокадо,vit_c,10.0000
Изюм,na,11.0000
Изюм,k,749.0000
Изюм,ca,50.0000
Изюм,mg,32.0000
Изюм,p,101.0000
Изюм,fe,1.8800
Изюм,vit_b1,0.1060
Изюм,vit_b2,0.1250
Изюм,vit_pp,0.7660
Изюм,vit_c,2.3000
Курага,na,10.0000
Курага,k,1162.0000
Курага,ca,55.0000
Курага,mg,32.0000
Курага,p,71.0000
Курага,fe,2.6600
Курага,beta_carotene,2.1600
Курага,vit_b1,0.0150
Курага,vit_b2,0.0740
Курага,vit_pp,2.5890
Курага,vit_c,1.0000
Тофу,na,14.0000
Тофу,k,121.0000
Тофу,ca,350.0000
Тофу,mg,30.0000
Тофу,p,97.0000
Тофу,fe,1.6100
Тофу,vit_b1,0.1580
Тофу,vit_b2,0.1030
Тофу,vit_pp,0.1180
Миндаль,na,1.0000
Миндаль,k,733.0000
Миндаль,ca,269.0000
Миндаль,mg,270.0000
Миндаль,p,481.0000
Миндаль,fe,3.7100
Миндаль,vit_b1,0.2050
Миндаль,vit_b2,1.1380
Миндаль,vit_pp,3.6180
Кокосовая стружка,na,37.0000
Кокосовая стружка,k,543.0000
Кокосовая стружка,ca,26.0000
Кокосовая стружка,mg,90.0000
Кокосовая стружка,p,206.0000
Кокосовая стружка,fe,3.3200
Кокосовая стружка,vit_b1,0.0600
Кокосовая стружка,vit_b2,0.1000
Кокосовая стружка,vit_pp,0.6030
Кокосовая стружка,vit_c,1.5000
Орехи грецкие,na,2.0000
Орехи грецкие,k,441.0000
Орехи грецкие,ca,98.0000
Орехи грецкие,mg,158.0000
Орехи грецкие,p,346.0000
Орехи грецкие,fe,2.9100
Орехи грецкие,beta_carotene,0.0120
Орехи грецкие,vit_b1,0.3410
Орехи грецкие,vit_b2,0.1500
Орехи грецкие,vit_pp,1.1250
Орехи грецкие,vit_c,1.3000
Льняное семя,na,30.0000
Льняное семя,k,813.0000
Льняное семя,ca,255.0000
Льняное семя,mg,392.0000
Льняное семя,p,642.0000
Льняное семя,fe,5.7300
Льняное семя,vit_b1,1.6440
Льняное семя,vit_b2,0.1610
Льняное семя,vit_pp,3.0800
Брокколи,na,33.0000
Брокколи,k,316.0000
Брокколи,ca,47.0000
Брокколи,mg,21.0000
Брокколи,p,66.0000
Брокколи,fe,0.7300
Брокколи,beta_carotene,0.3610
Брокколи,vit_b1,0.0710
Брокколи,vit_b2,0.1170
Брокколи,vit_pp,0.6390
Брокколи,vit_c,89.2000
Маслины,k,8.0000
Маслины,ca,88.0000
Маслины,mg,4.0000
Маслины,p,3.0000
Маслины,beta_carotene,0.2310
Маслины,vit_a,0.0200
Маслины,vit_c,0.9000
